fault_type,component,symptom,resolution,severity,text,cluster
command_execution_error,system_configuration,command not found or unexpected behavior,"ensure correct spelling and syntax, check for missing dependencies or incorrect file permissions",low,I followed the instructions but when I did: sudo nano /etc/environment,-1
syntax_error,text_processing,incorrect input,correct the input to 'they are',low,sure they are,-1
syntax_error,text_processing,incorrect input,check input for proper format,low,sure they are,-1
command_execution_error,system_configuration,command not found or unexpected behavior,"ensure correct spelling and syntax, check for missing dependencies or incorrect file permissions",low,I followed the instructions but when I did: sudo nano /etc/environment,-1
,,,"no specific symptom provided, further details are needed",low,what?,-1
,,,,,what?,-1
,,,,low,I already did that,-1
,,,,low,I already did that,-1
data integrity issue,database,files were found to be incorrect,verify and correct the data in the database,low,I didn't want to but I like I said.. I had to find the culprit and therefor I checked and both files were wrong,-1
user error,,no visible symptom,inform the user that providing instructions to others is not recommended,low,I wouldn't tell others to do it :),1
data integrity issue,database,files were found to be incorrect,verify and correct the data in the database,low,I didn't want to but I like I said.. I had to find the culprit and therefor I checked and both files were wrong,-1
user error,,no visible symptom,inform the user that providing instructions to others is not recommended,low,I wouldn't tell others to do it :),1
software_configuration_error,locale,error when running dpkg-reconfigure locales,"check if lang is set to a valid locale, or try setting lang to a valid locale manually",low,sudo dpkg-reconfigure locales updates LANG --> gives me that error,-1
software_configuration_error,locale,error when running dpkg-reconfigure locales,"check if lang is set to a valid locale, or try setting lang to a valid locale manually",low,sudo dpkg-reconfigure locales updates LANG --> gives me that error,-1
user error,,,ensure that the user follows the correct procedure for copying and pasting. verify that the source and destination are correctly identified.,low,I mearly copied and pasted your suggestion,-1
,,,,low,that was a sentence,1
user error,,,ensure that the user follows the correct procedure for copying and pasting. verify that the source and destination are correctly identified.,low,I mearly copied and pasted your suggestion,-1
,,,,low,that was a sentence,1
user mistake,,,refer to jeff's advice or documentation for the correct procedure,low,and I did that before... according to Jeff's advice,-1
,,,no action required as there are no errors.,low,sorry no errors this time,-1
,,,no action required as there are no errors.,low,sorry no errors this time,-1
user mistake,,,refer to the documentation or jeff's advice for the correct procedure,low,and I did that before... according to Jeff's advice,-1
syntax_error,command_interpreter,unexpected command received,type 'help' for command syntax,low,"after you do, type 'locales'",-1
syntax_error,command_processor,unexpected command received,correct the input to match the expected commands,low,"after you do, type 'locales'",-1
syntax_error,text_input,invalid input format,correct the input format to 'okay',low,that okay?,1
syntax_error,text_input,invalid input format,correct the input format to 'okay',low,that okay?,1
,,,,low,same deal,-1
,,,,low,same deal,-1
system_information_query,/etc/environment,missing or incorrect information,check the file for missing or incorrect entries,low,what's in /etc/environment now?,-1
command_not_found,/etc/environment,command not found,run 'source /etc/environment' to apply changes,low,what's in /etc/environment now?,-1
component_inspection,first component,bare and insufficient,add more components or material,low,the first one is too bare? it should have more?,-1
component_inspection,first component,bare and insufficient,add more components,low,the first one is too bare? it should have more?,-1
communication,input device,incomplete or unclear input,provide more details or rephrase the question,low,got any more input on the matter?,1
communication,input system,no response or incomplete input,check for any network or software connectivity issues,low,got any more input on the matter?,1
syntax_error,command_line,command not recognized,use spaces instead of commas to separate the packages,low,you can put: main restricted universe multiverse on one line can't you,-1
syntax_error,command_line,command not recognized,use spaces instead of colons to separate the components,low,you can put: main restricted universe multiverse on one line can't you,-1
xlib errors,progs,get xlib errors,check if iso and utf are correctly set in local.gen,low,I have now ISO and UTF in local.gen but I still get the xlib errors with certain progs,-1
xlib errors,progs,get xlib errors,check if iso and utf are correctly set in local.gen,low,I have now ISO and UTF in local.gen but I still get the xlib errors with certain progs,-1
,xorg,kamion and daniels thought it was/is,it has nothing to do with xorg,low,has nothing to do with xorg? Kamion and daniels thought it was/is,-1
hardware,kamion and daniels,system not responding to xorg,check system for hardware issues,low,has nothing to do with xorg? Kamion and daniels thought it was/is,-1
version_mismatch_or_conflict,software_or_application,system_stability_issues_or_unexpected_behavior,upgrade_to_latest_version_or_unpin_the_component,low,so it does.. okay I'll ride it out no biggie... just downgraded a version and pinned it,-1
version_mismatch_or_conflict,software_or_application,system_stability_issues_or_unexpected_behavior,upgrade_to_latest_version_or_unpin_the_component,low,so it does.. okay I'll ride it out no biggie... just downgraded a version and pinned it,-1
sound,gstreamer,sound is busted,install gstreamer again,low,quick question... if you remove gstreamer.. is there a chance your sound is busted,-1
configuration issue,,system behavior varies based on configuration,check and adjust configuration settings,low,depends how things are configured,-1
sound,gstreamer,sound is busted,install gstreamer again,low,quick question... if you remove gstreamer.. is there a chance your sound is busted,-1
configuration issue,,system behavior varies based on configuration,check and adjust configuration settings,low,depends how things are configured,-1
software,gstreamer,installation issues,reinstall gstreamer,low,so re installing gstreamer could fix it?,-1
software,gstreamer,installation issues,reinstall gstreamer,low,so re installing gstreamer could fix it?,-1
command_error,snd_intel8x0m,command not found,"run 'lsmod' first to check if the module is loaded, then use 'modinfo snd_intel8x0m' to verify its presence and dependencies",low,lsmod|grep snd_intel8x0m|wc -l,-1
command_error,snd_intel8x0m,command not found,"run the command 'lsmod' first to list all loaded kernel modules, then use 'grep snd_intel8x0m' to check if the module is loaded. if not, load the module using 'modprobe snd_intel8x0m'.",low,lsmod|grep snd_intel8x0m|wc -l,-1
,laptop,unspecified,specify the issue or check the laptop for any error messages,low,dell laptop?,-1
,laptop,incomplete query,specify the issue to resolve,low,dell laptop?,-1
software installation,hsf,system upgrade issue,ensure proper sequence of installation and upgrade steps,low,0 but i did install hsf deb early on then upgraded to hoary,-1
,laptop,no specific symptom mentioned,no specific resolution provided,low,and yes dell laptop sorry,-1
software installation,hsf,system upgrade issue,ensure proper sequence of installation and upgrade steps,low,0 but i did install hsf deb early on then upgraded to hoary,-1
,laptop,no specific symptom mentioned,no specific resolution provided,low,and yes dell laptop sorry,-1
,,,,low,roger,-1
hardware,sound chipset,no irq assigned,check /proc/interrupts and assign an irq to the sound chipset,low,look in /proc/interrupts and ensure an irq is being assigned to your sound chipset,-1
hardware fault,sound chipset,no irq assigned to sound chipset,check /proc/interrupts and assign an irq to the sound chipset,low,look in /proc/interrupts and ensure an irq is being assigned to your sound chipset,-1
,,,,low,roger,-1
software,snd_intel8x0,not loaded or not functioning properly,ensure snd_intel8x0 is loaded and functioning correctly,low,"and snd_intel8x0 is loaded, correct?",1
driver,snd_intel8x0,not loaded or not functioning,reinstall or update the driver,low,"and snd_intel8x0 is loaded, correct?",1
user_query,,,the message 'how to fix?' is a user query seeking assistance. it does not indicate a specific fault or symptom.,low,"ok, thanks! how to fix?",-1
,,,,low,nope,-1
hardware,keyboard controller,inability to recognize keyboard input,"check keyboard connection, try resetting keyboard controller",low,only thing closely resembling is i8042 would that be it?,-1
user_query,,,the message 'how to fix?' is a user query seeking assistance. it does not indicate a specific fault or symptom.,low,"ok, thanks! how to fix?",-1
hardware,keyboard controller,inability to recognize keyboard input,"check keyboard connection, try resetting keyboard controller",low,only thing closely resembling is i8042 would that be it?,-1
,,,,low,nope,-1
,,system is loaded,no specific resolution needed as the system is loaded,low,yes it is loaded,-1
,,system is loaded,no specific resolution needed as the system is loaded,low,yes it is loaded,-1
installation error,hsf,installation process is not proceeding as expected,ensure hsf is properly downloaded and try installing again,low,could be installing hsf from the get-go cause this?,-1
communication_error,,ambiguous or unrecognized command,verify the command is correct or check the documentation,low,I'm not familiar w/ 'hsf',-1
installation error,hsf,installation process is not proceeding as expected,ensure hsf is properly downloaded and try installing again,low,could be installing hsf from the get-go cause this?,-1
communication_error,,ambiguous or unrecognized command,verify the command is correct or check the documentation,low,I'm not familiar w/ 'hsf',-1
driver issue,modem drivers,linux ant modem not working properly,update or reinstall modem drivers,low,hsf linuxant modem drivers,-1
driver issue,modem drivers,linux ant modem not working properly,update or reinstall modem drivers,low,hsf linuxant modem drivers,-1
bios configuration issue,bios,printer port enabled and potentially causing conflicts,disable unused ports in bios,low,"I'd try and disable anything in bios you're not using, like a printer port (since you're already using the modem)",-1
bios configuration,bios,printer port is enabled and not needed,disable the printer port in bios settings,low,"I'd try and disable anything in bios you're not using, like a printer port (since you're already using the modem)",-1
bios,bios,limited functionality,looking into now,low,dell bios is usually pretty limited but looking into now thanks,-1
bios,bios,limited functionality,looking into now,low,dell bios is usually pretty limited but looking into now thanks,-1
hardware malfunction,soundcard,system failure to recognize soundcard,reassigning irq to soundcard or reinstalling soundcard driver,low,indeed.  you are the man.  i disabled as much as possible in bios and not soundcard is assigned an irq is it?  wonder why all of a sudden this needed to be done?  maybe because modem driver was properly installed?,-1
hardware malfunction,soundcard,system failure to recognize soundcard,reassigning irq to soundcard or reinstalling soundcard driver,low,indeed.  you are the man.  i disabled as much as possible in bios and not soundcard is assigned an irq is it?  wonder why all of a sudden this needed to be done?  maybe because modem driver was properly installed?,-1
hardware,intel 8259a,error messages related to snd-intel8x0m or irq issues,check for proper loading of snd-intel8x0m and ensure that all irqs are assigned,low,"I've seen the error quite a few times with snd-intel8x0m being loaded, or an irq not being assigned, etc.",1
hardware,intel 8259a,error with snd-intel8x0m driver or irq not assigned,check for proper driver installation and irq assignment,low,"I've seen the error quite a few times with snd-intel8x0m being loaded, or an irq not being assigned, etc.",1
